Date,Name,Tweets,Open_BABA,High_BABA,Low_BABA,Close_BABA,Volume_BABA
2020-08-19,Jack Ma,Congrats to the top 20 Africa's Business Heroes finalists! Selected from 22k+ applications across all 54 African co… https://t.co/Y2cndKaC88,260.8900146484375,261.29000854492193,257.3800048828125,260.58999633789057,14096500
2020-07-15,Jack Ma,Let's support #CyberMulan to help 50 million women achieve their dreams with tech! Please share and recognize the… https://t.co/aiFlinOzxs,251.47999572753903,252.5,246.5399932861328,249.2100067138672,12614700
2020-04-21,Jack Ma,"Following donations to 150+ countries &amp; regions, we will provide 100M masks, 1M N95 masks, and 1M test kits to @WHO… https://t.co/JAwkZ2r5Ps",209.8999938964844,212.1300048828125,205.02999877929688,207.33999633789062,14107600
2020-04-20,Jack Ma,"Our 3rd donation to Africa will immediately be made to @_africanunion and @AfricaCDC. This includes 4.6m masks, 500… https://t.co/OSZhe7yaul",209.8699951171875,216.1000061035156,209.3600006103516,212.1300048828125,19295400
2020-04-06,Jack Ma,"Our second donation to 54 countries in Africa is on the way. That includes 500 ventilators, 200K suits &amp; face shiel… https://t.co/QDxv9gkLbr",194.7400054931641,196.8800048828125,192.6999969482422,196.4499969482422,13248700
2020-04-03,Jack Ma,Calling all African medical experts! Chinese frontline doctors are online &amp; ready to share hard-earned lessons. Tim… https://t.co/cek4LYgbqd,190.1199951171875,190.5500030517578,185.41000366210938,187.1100006103516,9483100
2020-03-30,Jack Ma,"Jack Ma Foundation and Alibaba Foundation will donate additional urgent equipment including 800 ventilators, 300,00… https://t.co/pd2Rxc3dT1",187.47999572753903,191.47999572753903,187.00999450683602,191.2700042724609,12254400
2020-03-26,Jack Ma,"Knowledge is power! We launched an online platform for doctors and nurses around the world to exchange ideas, lesso… https://t.co/EZwtT5A35P",188.63999938964844,196.32000732421875,187.6000061035156,195.32000732421875,15416800
2020-03-23,Jack Ma,Thank you Prime Minister @AbiyAhmedAli for helping us distribute supplies throughout Africa. It’s a tough job durin… https://t.co/8KXudZgdb4,175.27000427246094,178.5,169.9499969482422,176.33999633789062,22554700
2020-03-18,Jack Ma,"I need your help to share this handbook quickly to hospitals, doctors, nurses and anyone who needs to know around t… https://t.co/5X1K5Kj01L",176.0,182.41000366210938,170.0,180.0,22054200
2020-03-18,Jack Ma,"Friends,

Hospitals in outbreak countries will face huge challenges coping with the surge of patients. The clinical… https://t.co/CQunOn0ot3",176.0,182.41000366210938,170.0,180.0,22054200
2020-03-17,Jack Ma,RT @foundation_ma: From Hangzhou via Liege to Rome - medical supplies have reached their final destination and been handed over to the Ital…,181.25999450683602,189.38999938964844,179.69000244140625,184.80999755859366,19276500
2020-03-16,Jack Ma,"Africa can be one step ahead of the coronavirus. To each of the 54 African countries, we will donate 20,000 test ki… https://t.co/trCuVE6vMK",176.14999389648438,188.0,174.5,178.85000610351562,26628500
2020-03-16,Jack Ma,"RT @foundation_ma: Through a donation of 500,000 testing kits and 1 million masks, we join hands with Americans in these difficult times. h…",176.14999389648438,188.0,174.5,178.85000610351562,26628500
2020-03-16,Jack Ma,The first shipment of masks and coronavirus test kits to the US is taking off from Shanghai. All the best to our fr… https://t.co/vYJzW56N0t,176.14999389648438,188.0,174.5,178.85000610351562,26628500
