Date,Name,Tweets,USD_EUR
2018-06-05,Emmanuel Macron,Ce qui saute aux yeux quand on voit l'@equipedefrance : l'esprit d'équipe et la cohésion du groupe. https://t.co/xd0WhuekgV,1.1675
2018-06-05,Emmanuel Macron,Merci pour ce maillot. https://t.co/SiURTLLA8N,1.1675
2018-06-05,Emmanuel Macron,Avec l’@equipedefrance à Clairefontaine : https://t.co/qceE9TFtym https://t.co/Y617dsPSqq,1.1675
2018-06-05,Emmanuel Macron,Faites-nous rêver ! https://t.co/zCHj6bGK38,1.1675
2018-06-05,Emmanuel Macron,Je l'ai dit à Benyamin Netanyahou : l'accord de 2015 sur le nucléaire iranien doit être conservé. Mais il n'a jamai… https://t.co/EWhsbogrhb,1.1675
2018-06-05,Emmanuel Macron,"La saison croisée France-Israël reflète l’histoire qui nous unit et l’innovation, l’histoire que nous allons écrire… https://t.co/GM1w0iSMws",1.1675
2018-06-05,Emmanuel Macron,La France et Israël sont engagés ensemble contre le dérèglement climatique. Le satellite Venus est le produit de no… https://t.co/BIhy18MHyD,1.1675
2018-06-05,Emmanuel Macron,La position de la France sur le conflit israëlo-palestinien est connue : deux États vivant côte à côte en paix et e… https://t.co/txyYp2bb4v,1.1675
2018-06-04,Emmanuel Macron,"LIVE | Conférence de presse avec Mahamadou Issoufou, Président de la République du Niger @PresidenceNiger.
https://t.co/XQAIULM2pc",1.1737
2018-06-04,Emmanuel Macron,"Homme d’idées et d’action, homme d’enracinement et d’avenir, Jean-Claude Boulard eut comme seule boussole le sort d… https://t.co/vR2GJa9L6U",1.1737
2018-06-01,François Hollande,J’ai appris avec émotion le décès de Jean-Claude Boulard. J'ai eu le plaisir de le rencontrer au Mans dans sa mairi… https://t.co/2KlB7Eg4Rv,1.1669
2018-05-31,Emmanuel Macron,RT @Elysee: LIVE l L'histoire se vit et se transmet aussi en visitant les monuments qui en ont été les témoins. Leur restauration dépend de…,1.1699
2018-05-31,Emmanuel Macron,"Voltaire aurait été heureux de voir ce lieu qu'il a aimé et où il a reçu toute l'Europe retrouver cette forme.
Ce n… https://t.co/aZP2bPcdwG",1.1699
2018-05-31,Emmanuel Macron,"Refuser la fatalité de la bêtise et le repli sur soi, telle est l'identité de l'esprit français. Nous le devons à V… https://t.co/hHT8c8hzXy",1.1699
2018-05-31,Emmanuel Macron,"C’est grâce à eux que nous pouvons aujourd’hui revenir là où a pensé, écrit et s’est battu Voltaire. Vous pouvez êt… https://t.co/s8GTOzuEx9",1.1699
2018-05-31,Emmanuel Macron,"Comme cet endroit où repose une part de l’esprit de Voltaire, des milliers de demeures de notre histoire attendent… https://t.co/NPEGyZNncT",1.1699
2018-05-31,Emmanuel Macron,"À l’endroit même où Voltaire cultivait son jardin, avec ceux qui poursuivent sa tâche. https://t.co/2ySygxymfe",1.1699
2018-05-31,Emmanuel Macron,"Quand on parle de notre patrimoine, on parle de l'identité de notre pays. Notre pays s'est construit dans un dialog… https://t.co/9oo8MxrjZh",1.1699
2018-05-31,Emmanuel Macron,"Le peuple grec, qui a tant souffert ces dernières années, est fier quand il regarde son patrimoine.
https://t.co/9OfhkYdg7E",1.1699
2018-05-31,Emmanuel Macron,"Le patrimoine est à tout le monde, nous devons permettre à chacun de se réapproprier notre histoire commune.",1.1699
2018-05-31,Emmanuel Macron,"Quand on parle de patrimoine, on ne parle pas que de pierres. On parle de notre imaginaire. https://t.co/uVCVZfYlb5",1.1699
2018-05-31,Emmanuel Macron,"Nous devons savoir quel est notre passé, comment s'inscrire dans celui-ci et comment le réinventer sur le territoir… https://t.co/xeN3ssLBJt",1.1699
2018-05-30,Emmanuel Macron,"Pour une Organisation mondiale du commerce (OMC) refondée : 
– Négociation avec les USA, l’UE, la Chine et le Japon… https://t.co/ZghdewmT3i",1.1632
2018-05-30,François Hollande,RT @LaFrancesengage: @LaFrancesengage est fière de soutenir la @Fondationfemmes dans le lancement de sa nouvelle campagne #TUSERASUNHOMMEMO…,1.1632
2018-05-30,Emmanuel Macron,LIVE | La France n'avait pas présidé l'OCDE depuis 10 ans. Nous devons retrouver le chemin d'un multilatéralisme fo… https://t.co/3ttJ2qJnel,1.1632
2018-05-30,Emmanuel Macron,"L'OCDE s'est placée au cœur de combats décisifs contre les inégalités. Nous devons, pour poursuivre cette lutte, re… https://t.co/x6OLyaL7iH",1.1632
2018-05-30,Emmanuel Macron,Nous ne vivons pas des temps calmes. Ceux qui pensent qu'on peut continuer comme avant se trompent. Nous devons et… https://t.co/FM6RoueVQ7,1.1632
2018-05-30,Emmanuel Macron,Les inégalités persistent : la richesse par habitant est 50 fois supérieure dans les pays de l'OCDE que dans les pa… https://t.co/fuFJHqK1eK,1.1632
2018-05-30,Emmanuel Macron,La mondialisation est en train de devenir de plus en plus violente. L'ordre mondial est bousculé. Le terrorisme s'est mondialisé. #OECDForum,1.1632
2018-05-30,Emmanuel Macron,"Pour Liège : nous connaissons cela, nous ne nous y habituerons jamais, nous sommes au côté de ceux qui le vivent. A… https://t.co/cWDPnodYaS",1.1632
2018-05-30,Emmanuel Macron,Nous sommes confrontés à une crise née de pratiques de concurrence déloyale ou de dumping. Mais sortir de l'ordre m… https://t.co/cvy4VhMWj2,1.1632
2018-05-30,Emmanuel Macron,"Refuser la mondialisation est illusoire, la diaboliser est trop facile. Il faut accepter de la regarder en face : l… https://t.co/O1BADENa6h",1.1632
2018-05-30,Emmanuel Macron,Nous vivons déjà les conséquences du changement climatique. La refonte de l'Organisation mondiale du commerce fait… https://t.co/FDKSWc4cxK,1.1632
2018-05-30,Emmanuel Macron,Il n'est pas acceptable qu'aujourd'hui 250 millions de jeunes soient privés d'éducation. #OECDForum,1.1632
2018-05-30,Emmanuel Macron,"Le développement, c'est le combat central contre les inégalités. C'est le fait des dirigeants politiques, mais pas… https://t.co/aF46jw46rG",1.1632
2018-05-30,Emmanuel Macron,"L'écologie n'est pas un luxe. C'est un de nos devoirs. Si nous n'arrivons pas à répondre au défi écologique, il plo… https://t.co/S91oj5PORv",1.1632
2018-05-30,Emmanuel Macron,"Je souhaite que l'OCDE endosse la responsabilité du multilatéralisme fort auquel je crois. Dans ces temps troublés,… https://t.co/Lm2Si4B3az",1.1632
2018-05-30,Emmanuel Macron,Derrière le concept de « multilateralisme » : ces femmes et ces hommes qui travaillent chaque jour pour construire… https://t.co/G5bHKUAfvF,1.1632
2018-05-30,Emmanuel Macron,"Face aux dangers, la faute que nous pourrions faire : tourner le dos au multilatéralisme. #OECDForum https://t.co/BKMJqEhVrQ",1.1632
