Date,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Volume_AAPL
2020-10-22,117.4499969482422,118.04000091552734,114.58999633789062,115.77999877929688,81819195
2020-10-21,116.66999816894531,118.70999908447266,116.4499969482422,116.87000274658205,89424000
2020-10-20,116.1999969482422,118.9800033569336,115.62999725341795,117.51000213623048,124423700
2020-10-19,119.95999908447266,120.41999816894531,115.66000366210938,115.9800033569336,120639300
2020-10-16,121.27999877929688,121.5500030517578,118.80999755859376,119.0199966430664,115393800
2020-10-15,118.72000122070312,121.1999969482422,118.1500015258789,120.70999908447266,112559200
2020-10-14,121.0,123.02999877929688,119.62000274658205,121.19000244140624,151062300
2020-10-13,125.2699966430664,125.38999938964844,119.6500015258789,121.0999984741211,262330500
2020-10-12,120.05999755859376,125.18000030517578,119.27999877929688,124.4000015258789,240226800
2020-10-09,115.27999877929688,117.0,114.91999816894531,116.97000122070312,100506900
2020-10-08,116.25,116.4000015258789,114.58999633789062,114.97000122070312,83477200
2020-10-07,114.62000274658205,115.5500030517578,114.12999725341795,115.08000183105469,96849000
2020-10-06,115.6999969482422,116.12000274658205,112.25,113.16000366210938,161498200
2020-10-05,113.91000366210938,116.6500015258789,113.5500030517578,116.5,106243800
2020-10-02,112.88999938964844,115.37000274658205,112.22000122070312,113.0199966430664,144712000
2020-10-01,117.63999938964844,117.72000122070312,115.83000183105469,116.79000091552734,116120400
2020-09-30,113.79000091552734,117.26000213623048,113.62000274658205,115.80999755859376,142675200
2020-09-29,114.5500030517578,115.30999755859376,113.56999969482422,114.08999633789062,99382200
2020-09-28,115.01000213623048,115.31999969482422,112.77999877929688,114.95999908447266,137672400
2020-09-25,108.43000030517578,112.44000244140624,107.66999816894531,112.27999877929688,149981400
2020-09-24,105.16999816894531,110.25,105.0,108.22000122070312,167743300
2020-09-23,111.62000274658205,112.11000061035156,106.7699966430664,107.12000274658205,150718700
2020-09-22,112.68000030517578,112.86000061035156,109.16000366210938,111.80999755859376,183055400
2020-09-21,104.54000091552734,110.19000244140624,103.0999984741211,110.08000183105469,195713800
2020-09-18,110.4000015258789,110.87999725341795,106.08999633789062,106.83999633789062,287104900
2020-09-17,109.72000122070312,112.1999969482422,108.70999908447266,110.33999633789062,178011000
2020-09-16,115.2300033569336,116.0,112.04000091552734,112.12999725341795,154679000
2020-09-15,118.33000183105469,118.83000183105469,113.61000061035156,115.54000091552734,184642000
2020-09-14,114.72000122070312,115.93000030517578,112.8000030517578,115.36000061035156,140150100
2020-09-11,114.56999969482422,115.2300033569336,110.0,112.0,180860300
2020-09-10,120.36000061035156,120.5,112.5,113.48999786376952,182274400
2020-09-09,117.26000213623048,119.13999938964844,115.26000213623048,117.31999969482422,176940500
2020-09-08,113.9499969482422,118.98999786376952,112.68000030517578,112.81999969482422,231366600
2020-09-04,120.06999969482422,123.6999969482422,110.88999938964844,120.95999908447266,332607200
2020-09-03,126.91000366210938,128.83999633789062,120.5,120.87999725341795,257599600
2020-09-02,137.58999633789062,137.97999572753906,127.0,131.39999389648438,200119000
2020-09-01,132.75999450683594,134.80000305175778,130.52999877929688,134.17999267578122,152470100
2020-08-31,127.58000183105469,131.0,126.0,129.03999328613278,225702700
2020-08-28,126.0124969482422,126.44249725341795,124.57749938964844,124.80750274658205,187630000
