Date,Name,Tweets,Open_GOOG,High_GOOG,Low_GOOG,Close_GOOG,Volume_GOOG
2019-12-04,Sundar Pichai,@Benioff Mahalo. More likely Benioff 2020:),1307.010009765625,1325.800048828125,1304.8699951171875,1320.5400390625,1537500
2019-12-04,Sundar Pichai,I’m excited about Alphabet’s long term focus on tackling big challenges through technology. Thanks to Larry &amp; Serge… https://t.co/VAtzwXbIt3,1307.010009765625,1325.800048828125,1304.8699951171875,1320.5400390625,1537500
2019-12-03,Sundar Pichai,"We strive to make our products helpful and accessible for everyone. Starting today, there will be American Sign Lan… https://t.co/8TMySWgKKy",1279.5699462890625,1298.4610595703125,1279.0,1295.280029296875,1143800
2019-11-25,Sundar Pichai,"We've joined 55+ other orgs and industry groups to support the STEM OPT program, another step in our efforts to adv… https://t.co/J0l9vgvV2j",1299.1800537109375,1311.31005859375,1298.1300048828125,1306.68994140625,1036200
2019-11-25,Sundar Pichai,We’re proud to be among the many companies supporting the @webfoundation and their work to ensure that the web rema… https://t.co/Mxs6TOlz4U,1299.1800537109375,1311.31005859375,1298.1300048828125,1306.68994140625,1036200
2019-11-21,Sundar Pichai,Well said and so inspiring! https://t.co/qHBwdv3fmS,1301.47998046875,1312.5899658203125,1293.0,1301.3499755859375,995500
2019-11-19,Sundar Pichai,"Tonight we unveiled the new @GoogleStartups Campus in Tokyo, co-located with our new office in Shibuya to give the… https://t.co/F3ikdlPODm",1327.699951171875,1327.699951171875,1312.800048828125,1315.4599609375,1269200
2019-11-18,Sundar Pichai,Greetings from Tokyo! Celebrating the opening of our new office in Shibuya with a traditional sake barrel breaking… https://t.co/XSTGhWuLU8,1332.219970703125,1335.529052734375,1317.5,1320.699951171875,1487400
2019-11-11,Sundar Pichai,"US Army veteran Pete Damon is the guest artist behind today's #GoogleDoodle. This #VeteransDay, we join him in payi… https://t.co/p0KSMdLCfv",1303.1800537109375,1306.425048828125,1297.4100341796875,1299.18994140625,1011900
2019-11-04,Sundar Pichai,RT @SusanWojcicki: Tonight are the #breakthroughprize2020 live streamed on @YouTube 7 pm PST. Excited to see scientific discoveries celebra…,1276.449951171875,1294.1300048828125,1276.35498046875,1291.3699951171875,1501000
2019-10-29,Sundar Pichai,We're proud to support accessible &amp; inclusive housing as part of our commitment to Bay Area housing: we're making a… https://t.co/zZu0DPOjnx,1276.22998046875,1281.5899658203125,1257.2120361328125,1262.6199951171875,1886400
2019-10-28,Sundar Pichai,"Since 2001, we’ve been proud to be a part of Atlanta’s growing tech sector. Today we’re excited to break ground on… https://t.co/OCD0cf9TvC",1275.449951171875,1299.31005859375,1272.5400390625,1290.0,2613200
2019-10-28,Sundar Pichai,"In honor of First Responders Day, we salute all of the first responders who help others in need every day. Especial… https://t.co/y8LcUbRMOP",1275.449951171875,1299.31005859375,1272.5400390625,1290.0,2613200
2019-10-25,Sundar Pichai,Don's impact on the beginnings of Silicon Valley and the entire tech industry will not be soon forgotten. Thoughts… https://t.co/wIZlE2kzO6,1251.030029296875,1269.5999755859375,1250.010009765625,1265.1300048828125,1213100
2019-10-24,Sundar Pichai,RT @JeffDean: Deep learning improving our sense of the world!  A nose by any other name would smell as sweet. https://t.co/UEQqbOClNk,1260.9000244140625,1264.0,1253.7149658203125,1260.989990234375,1028100
2019-10-23,Sundar Pichai,"Thanks @glichfield for a great conversation - really enjoyed chatting about what this milestone means to Google, an… https://t.co/U9K5hHLRJU",1242.3599853515625,1259.8900146484375,1242.3599853515625,1259.1300048828125,911500
2019-10-23,Sundar Pichai,Excited about what quantum computing means for the future - it gives us another way to speak the language of the un… https://t.co/bgaxH5Pl6y,1242.3599853515625,1259.8900146484375,1242.3599853515625,1259.1300048828125,911500
2019-10-23,Sundar Pichai,Very proud that our @GoogleAI team has achieved a big breakthrough in quantum computing known as quantum supremacy… https://t.co/qosZsyt5V4,1242.3599853515625,1259.8900146484375,1242.3599853515625,1259.1300048828125,911500
2019-10-18,Sundar Pichai,Very inspiring to see the historic #AllWomanSpacewalk - hopefully just the first of many to come. Congrats… https://t.co/Kp1UUpRcfD,1253.4599609375,1258.8900146484375,1241.0799560546875,1245.489990234375,1352800
2019-10-15,Sundar Pichai,"Very excited to introduce our latest family of #MadebyGoogle hardware: Pixel 4, Nest Mini, Nest Wifi, Pixelbook Go… https://t.co/yZyvfjHgm2",1220.4000244140625,1247.3299560546875,1220.4000244140625,1243.010009765625,1381700
