Date,Open_DELL,High_DELL,Low_DELL,Close_DELL,Volume_DELL
2020-10-22,70.41999816894531,70.17500305175781,67.77500152587889,69.25,668685
2020-10-21,69.72000122070311,70.55999755859375,69.36000061035156,69.83000183105469,1909600
2020-10-20,70.12999725341797,70.38999938964844,69.37000274658203,69.41000366210939,747400
2020-10-19,70.4000015258789,70.91000366210938,69.23000335693361,69.5,1058100
2020-10-16,70.81999969482422,71.20999908447266,70.12000274658203,70.15000152587889,1516500
2020-10-15,69.52999877929689,70.4000015258789,68.84999847412111,70.04000091552734,1296600
2020-10-14,70.75,71.44999694824219,70.27999877929689,70.6500015258789,1052900
2020-10-13,70.0,71.04000091552734,69.55000305175781,70.51000213623047,1605400
2020-10-12,68.65000152587889,69.51000213623047,68.5,69.25,791800
2020-10-09,69.08999633789061,69.44000244140625,68.33999633789061,68.38999938964844,1164500
2020-10-08,67.5,69.22000122070311,67.44000244140625,68.66000366210939,2481000
2020-10-07,68.30999755859375,68.36000061035156,67.06999969482422,67.41000366210939,2138900
2020-10-06,68.08999633789061,68.87999725341797,67.19999694824219,67.48000335693361,1922300
2020-10-05,67.88999938964844,68.30999755859375,67.30000305175781,68.20999908447266,2524600
2020-10-02,65.88999938964844,67.62999725341797,65.72000122070311,67.16000366210939,1001300
2020-10-01,68.18000030517578,68.51000213623047,67.12000274658203,67.54000091552734,1106800
2020-09-30,68.38999938964844,68.87999725341797,67.16999816894531,67.69000244140625,1665600
2020-09-29,67.48999786376953,68.48999786376953,66.88999938964844,68.40000152587889,1375300
2020-09-28,66.80999755859375,67.63999938964844,66.47000122070311,67.30999755859375,1917700
2020-09-25,65.0,65.86000061035156,64.63999938964844,65.72000122070311,1223400
2020-09-24,65.12999725341797,65.97000122070311,64.34999847412111,65.37000274658203,1625100
2020-09-23,67.22000122070311,67.33999633789061,65.34999847412111,65.61000061035156,2125400
2020-09-22,66.12000274658203,66.33000183105469,64.97000122070311,66.30999755859375,1089100
2020-09-21,64.76999664306639,65.51999664306639,63.72000122070313,65.5,2166900
2020-09-18,66.62999725341797,67.16000366210939,65.81999969482422,66.37000274658203,11088800
2020-09-17,66.33000183105469,67.65000152587889,65.48999786376953,66.55999755859375,2266200
2020-09-16,67.66999816894531,68.55999755859375,67.33000183105469,67.37000274658203,2213600
2020-09-15,67.5,68.12999725341797,66.73000335693361,67.09999847412111,1457400
2020-09-14,67.0,67.77999877929689,66.48000335693361,66.84999847412111,2127600
2020-09-11,65.72000122070311,66.75,65.27999877929689,66.38999938964844,1716600
2020-09-10,67.08000183105469,67.31999969482422,65.04000091552734,65.44000244140625,2009000
2020-09-09,65.11000061035156,67.37999725341797,64.80000305175781,66.83999633789061,3257300
2020-09-08,63.04999923706055,65.58000183105469,62.709999084472656,64.15000152587889,2956000
2020-09-04,65.33999633789061,66.19999694824219,63.13000106811523,64.65000152587889,2314300
2020-09-03,67.12000274658203,67.66999816894531,64.40000152587889,65.54000091552734,2030100
2020-09-02,66.93000030517578,68.61000061035156,66.33999633789061,68.47000122070311,2320200
2020-09-01,66.41999816894531,66.83999633789061,65.70999908447266,66.37000274658203,2306000
2020-08-31,65.56999969482422,67.37000274658203,65.43000030517578,66.08000183105469,2999300
2020-08-28,65.52999877929689,67.62000274658203,64.80000305175781,66.20999908447266,9113100
2020-08-27,62.599998474121094,63.18000030517578,61.47000122070313,62.43000030517578,3742000
2020-08-26,61.81999969482422,62.27000045776367,60.84000015258789,62.13000106811523,2077800
2020-08-25,61.56000137329102,61.9000015258789,60.45000076293945,60.63999938964844,1358900
2020-08-24,61.9000015258789,62.20000076293945,61.15999984741211,61.56000137329102,1279000
2020-08-21,59.349998474121094,60.68000030517578,59.31000137329102,60.459999084472656,2215500
2020-08-20,59.7599983215332,59.959999084472656,59.31999969482422,59.65999984741211,966300
2020-08-19,60.31999969482422,60.68000030517578,59.72000122070313,59.849998474121094,1811000
2020-08-18,59.61999893188477,60.36000061035156,59.61999893188477,60.02000045776367,826800
2020-08-17,60.20000076293945,60.68999862670898,59.63999938964844,59.68999862670898,948600
2020-08-14,59.77999877929688,60.349998474121094,59.58000183105469,59.90999984741211,1084500
2020-08-13,61.209999084472656,61.61999893188477,59.5,59.56000137329102,2711800
2020-08-12,62.099998474121094,62.290000915527344,61.29999923706055,61.83000183105469,990900
